anime_id,name,genre,type,episodes,rating,members
32281,KIMI NO NA WA.," Drama, Romance, School, Supernatural ",Movie,1 eps,9.37/10,"200,630 members"
5114,fullmetal alchemist: brotherhood,"Action, Adventure, Drama, Fantasy, Magic, Military, Shounen",TV,64,9.26,793665
28977,Gintama°,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",TV,51,9.25,114262
9253,Steins;Gate,"Sci-Fi, Thriller   ",TV,24,9.17,673572
9969,Gintama&#039;," Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen ",TV,51,9.16,151266
32935,HAIKYUU!!: KARASUNO KOUKOU VS SHIRATORIZAWA GAKUEN KOUKOU,"Comedy, Drama, School, Shounen, Sports",TV,,9.15,93351
11061,Hunter x Hunter (2011),"Action, Adventure, Shounen, Super Power",TV,148,9.13,425855
820,Ginga Eiyuu Densetsu,,OVA,110,9.11,80679
15335,gintama movie: kanketsu-hen - yorozuya yo eien nare," Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen ",Movie,1,9.1,"72,534 members"
15417,Gintama&#039;: Enchousen,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen   ",TV,13 eps,9.11,81109
4181,CLANNAD: AFTER STORY,"Drama, Fantasy, Romance, Slice of Life, Supernatural",TV,24,9.06/10,456749
28851,Koe no Katachi,"Drama, School, Shounen",Movie,1,9.05,102733
918,Gintama," Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen ",TV,201,9.04,336376
2904,Code Geass: Hangyaku no Lelouch R2,"Action, Drama, Mecha, Military, Sci-Fi, Super Power",TV,25,8.98,572888
28891,Haikyuu!! Second Season,"Comedy, Drama, School, Shounen, Sports",TV,25,8.93,179342
199,sen to chihiro no kamikakushi,"Adventure, Drama, Supernatural   ",Movie,1,8.93,466254
23273,Shigatsu wa Kimi no Uso," Drama, Music, Romance, School, Shounen ",TV,22,8.92,"416,397 members"
24701,Mushishi Zoku Shou 2nd Season,"Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural",TV,,8.88,75894
12355,Ookami Kodomo no Ame to Yuki,"Fantasy, Slice of Life",Movie,1 eps,8.84,226193
1575,Code Geass: Hangyaku no Lelouch,"Action, Mecha, Military, School, Sci-Fi, Super Power",TV,25,8.83,715151
263,HAJIME NO IPPO," Comedy, Drama, Shounen, Sports ",TV,75,8.83/10,157670
44,Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,"Action, Drama, Historical, Martial Arts, Romance, Samurai   ",OVA,4,8.83,129307
1,cowboy bebop,,TV,26,8.82,486824
30276,One Punch Man,"Action, Comedy, Parody, Sci-Fi, Seinen, Super Power, Supernatural",TV,12,8.82,552458
164,Mononoke Hime," Action, Adventure, Fantasy ",Movie,1,8.81,"339,556 members"
7311,SUZUMIYA HARUHI NO SHOUSHITSU,"Comedy, Mystery, Romance, School, Sci-Fi, Supernatural",Movie,1,8.81,240297
17074,Monogatari Series: Second Season,"Comedy, Mystery, Romance, Supernatural, Vampire",TV,26,8.8,205959
21939,Mushishi Zoku Shou,"Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural   ",TV,10 eps,8.8,101351
457,Mushishi," Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural ",TV,26,8.78,300030
2001,tengen toppa gurren lagann,"Action, Adventure, Comedy, Mecha, Sci-Fi",TV,,8.78,562962
245,GREAT TEACHER ONIZUKA,"Comedy, Drama, School, Shounen, Slice of Life",TV,43,8.77/10,268487
32983,Natsume Yuujinchou Go,"Drama, Fantasy, Shoujo, Slice of Life, Supernatural",TV,13,8.76,38865
5258,Hajime no Ippo: New Challenger," Comedy, Drama, Shounen, Sports ",TV,26,8.75,"88,995 members"
28957,Mushishi Zoku Shou: Suzu no Shizuku,"Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural   ",Movie,1,8.75,32266
11665,Natsume Yuujinchou Shi,"Drama, Fantasy, Shoujo, Slice of Life, Supernatural",TV,13,8.75,98431
431,HOWL NO UGOKU SHIRO,"Adventure, Drama, Fantasy, Romance",Movie,1,8.74,333186
11741,fate/zero 2nd season," Action, Fantasy, Supernatural, Thriller ",TV,12 eps,8.73,340973
31757,Kizumonogatari II: Nekketsu-hen,,Movie,1,8.73,34347
19,Monster,"Drama, Horror, Mystery, Police, Psychological, Seinen, Thriller",TV,74,8.72,247562
12365,Bakuman. 3rd Season,"Comedy, Drama, Romance, Shounen   ",TV,25,8.71,133620
